Sample	Experiment	Function
XRseq_HaCat_A_NTS	X	plotExpX
XRseq_HaCat_A_TS	X	plotExpX
XRseq_HaCat_B_NTS	X	plotExpX
XRseq_HaCat_B_TS	X	plotExpX
XRseq_Kidney_A_NTS	X	plotExpX
XRseq_Kidney_A_TS	X	plotExpX
XRseq_Kidney_B_NTS	X	plotExpX
XRseq_Kidney_B_TS	X	plotExpX
XRseq_Kidney_C_NTS	X	plotExpX
XRseq_Kidney_C_TS	X	plotExpX
XRseq_Kidney_D_NTS	X	plotExpX
XRseq_Kidney_D_TS	X	plotExpX
XRseq_Kidney_E_NTS	X	plotExpX
XRseq_Kidney_E_TS	X	plotExpX
XRseq_Kidney_F_NTS	X	plotExpX
XRseq_Kidney_F_TS	X	plotExpX
XRseq_Liver_A_NTS	X	plotExpX
XRseq_Liver_A_TS	X	plotExpX
XRseq_Liver_A2_NTS	X	plotExpX
XRseq_Liver_A2_TS	X	plotExpX
XRseq_Liver_B_NTS	X	plotExpX
XRseq_Liver_B_TS	X	plotExpX
XRseq_Lung_A_NTS	X	plotExpX
XRseq_Lung_A_TS	X	plotExpX
XRseq_Lung_B_NTS	X	plotExpX
XRseq_Lung_B_TS	X	plotExpX
XRseq_Lung_C_NTS	X	plotExpX
XRseq_Lung_C_TS	X	plotExpX
XRseq_Lung_D_NTS	X	plotExpX
XRseq_Lung_D_TS	X	plotExpX
XRseq_Lung_E_NTS	X	plotExpX
XRseq_Lung_E_TS	X	plotExpX
XRseq_Lung_F_NTS	X	plotExpX
XRseq_Lung_F_TS	X	plotExpX
XRseq_Spleen_A_NTS	X	plotExpX
XRseq_Spleen_A_TS	X	plotExpX
XRseq_Spleen_B_NTS	X	plotExpX
XRseq_Spleen_B_TS	X	plotExpX
XRseq_Spleen_C_NTS	X	plotExpX
XRseq_Spleen_C_TS	X	plotExpX
XRseq_Spleen_D_NTS	X	plotExpX
XRseq_Spleen_D_TS	X	plotExpX
XRseq_Spleen_E_NTS	X	plotExpX
XRseq_Spleen_E_TS	X	plotExpX
XRseq_Spleen_F_NTS	X	plotExpX
XRseq_Spleen_F_TS	X	plotExpX
XRseq_Lung_B_TS	Y	PlotExpY
XRseq_Lung_C_NTS	Y	PlotExpY
XRseq_Lung_C_TS	Y	PlotExpY
XRseq_Lung_D_NTS	Y	PlotExpY
XRseq_Lung_D_TS	Y	PlotExpY
XRseq_Lung_E_NTS	Y	PlotExpY
XRseq_Lung_E_TS	Y	PlotExpY
XRseq_Lung_F_NTS	Y	PlotExpY
XRseq_Lung_F_TS	Y	PlotExpY
XRseq_Spleen_A_NTS	Y	PlotExpY
XRseq_Spleen_A_TS	Y	PlotExpY
XRseq_Spleen_B_NTS	Y	PlotExpY
XRseq_Spleen_B_TS	Y	PlotExpY
XRseq_Spleen_C_NTS	Y	PlotExpY
XRseq_Spleen_C_TS	Y	PlotExpY
XRseq_Spleen_D_NTS	Y	PlotExpY
XRseq_Spleen_D_TS	Y	PlotExpY
XRseq_Spleen_E_NTS	Y	PlotExpY
XRseq_Spleen_E_TS	Y	PlotExpY
XRseq_Spleen_F_NTS	Y	PlotExpY
XRseq_Spleen_F_TS	Y	PlotExpY
XRseq_HaCat_A_NTS	Z	plotExpX
XRseq_HaCat_A_TS	Z	plotExpX
XRseq_HaCat_B_NTS	Z	plotExpX
XRseq_HaCat_B_TS	Z	plotExpX
XRseq_Kidney_A_NTS	Z	plotExpX
XRseq_Kidney_A_TS	Z	plotExpX
XRseq_Kidney_B_NTS	Z	plotExpX
XRseq_Kidney_B_TS	Z	plotExpX
XRseq_Kidney_C_NTS	Z	plotExpX
XRseq_Kidney_C_TS	Z	plotExpX
XRseq_Kidney_D_NTS	Z	plotExpX
XRseq_Kidney_D_TS	Z	plotExpX
XRseq_Kidney_E_NTS	Z	plotExpX
XRseq_Kidney_E_TS	Z	plotExpX
XRseq_Kidney_F_NTS	Z	plotExpX
XRseq_Kidney_F_TS	Z	plotExpX
XRseq_Liver_A_NTS	Z	plotExpX
XRseq_Liver_A_TS	Z	plotExpX
XRseq_Liver_A2_NTS	Z	plotExpX
XRseq_Liver_A2_TS	Z	plotExpX
XRseq_Liver_B_NTS	Z	plotExpX
XRseq_Liver_B_TS	Z	plotExpX
XRseq_Lung_A_NTS	Z	plotExpX
XRseq_Lung_A_TS	Z	plotExpX
XRseq_Lung_B_NTS	Z	plotExpX
XRseq_Lung_B_TS	Z	plotExpX
XRseq_Lung_C_NTS	Z	plotExpX
XRseq_Lung_C_TS	Z	plotExpX
XRseq_Lung_D_NTS	Z	plotExpX
XRseq_Lung_D_TS	Z	plotExpX
XRseq_Lung_E_NTS	Z	plotExpX
XRseq_Lung_E_TS	Z	plotExpX
XRseq_Lung_F_NTS	Z	plotExpX
XRseq_Lung_F_TS	Z	plotExpX
XRseq_Spleen_A_NTS	Z	plotExpX
XRseq_Spleen_A_TS	Z	plotExpX
XRseq_Spleen_B_NTS	Z	plotExpX
XRseq_Spleen_B_TS	Z	plotExpX
XRseq_Spleen_C_NTS	Z	plotExpX
XRseq_Spleen_C_TS	Z	plotExpX
XRseq_Spleen_D_NTS	Z	plotExpX
XRseq_Spleen_D_TS	Z	plotExpX
XRseq_Spleen_E_NTS	Z	plotExpX
XRseq_Spleen_E_TS	Z	plotExpX
XRseq_Spleen_F_NTS	Z	plotExpX
XRseq_Spleen_F_TS	Z	plotExpX
